"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct","oty_month2_emplvl_chg","oty_month2_emplvl_pct","oty_month3_emplvl_chg","oty_month3_emplvl_pct","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct"
"42101","0","10","70","0","2015","1","","Philadelphia County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",34539,640611,642897,644825,10239527369,2747183113,171071619,1225,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",123,0.4,11314,1.8,11545,1.8,10534,1.7,490724523,5.0,132592328,5.1,-1457559,-0.8,38,3.2
"42101","0","10","70","0","2015","2","","Philadelphia County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",34205,650573,652122,651365,9645397202,760075525,46241920,1139,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",114,0.3,10352,1.6,11028,1.7,13255,2.1,450456283,4.9,50709691,7.1,909025,2.0,34,3.1
"42101","0","10","70","0","2015","3","","Philadelphia County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",34479,645226,644596,650882,9773279663,487548629,29284640,1162,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",279,0.8,7340,1.2,8628,1.4,5483,0.8,414814783,4.4,37039038,8.2,691622,2.4,37,3.3
"42101","0","10","70","0","2015","4","","Philadelphia County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",34639,659284,659982,662624,11032316758,433001023,26223932,1285,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",313,0.9,7138,1.1,6369,1.0,9730,1.5,771934370,7.5,46614448,12.1,1758681,7.2,76,6.3
"42101","1","10","71","0","2015","1","","Philadelphia County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",151,29505,29606,29665,633825533,0,0,1648,"",0.68,2.30,2.30,2.31,2.07,0.00,0.00,0.90,"",30,24.8,-440,-1.5,-407,-1.4,-393,-1.3,10202183,1.6,0,0.0,0,0.0,49,3.1
"42101","1","10","71","0","2015","2","","Philadelphia County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",150,29827,29546,29576,546647873,0,0,1418,"",0.68,2.31,2.31,2.31,2.01,0.00,0.00,0.87,"",29,24.0,-209,-0.7,-185,-0.6,-182,-0.6,-2462149,-0.4,0,0.0,0,0.0,3,0.2
"42101","1","10","71","0","2015","3","","Philadelphia County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",150,29492,29359,29379,632788544,0,0,1655,"",0.69,2.29,2.30,2.30,2.02,0.00,0.00,0.88,"",28,23.0,-67,-0.2,-82,-0.3,293,1.0,8510366,1.4,0,0.0,0,0.0,20,1.2
"42101","1","10","71","0","2015","4","","Philadelphia County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",153,29084,29364,30059,569428419,0,0,1485,"",0.70,2.27,2.29,2.31,1.95,0.00,0.00,0.85,"",31,25.4,-138,-0.5,85,0.3,460,1.6,26913746,5.0,0,0.0,0,0.0,64,4.5
"42101","1","101","72","0","2015","1","","Philadelphia County, Pennsylvania","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,411,407,406,8878911,0,0,1674,"",2.25,1.90,1.86,1.84,1.69,0.00,0.00,0.91,"",0,0.0,-4,-1.0,-40,-8.9,-10,-2.4,107009,1.2,0,0.0,0,0.0,90,5.7
"42101","1","101","72","0","2015","2","","Philadelphia County, Pennsylvania","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,405,403,400,7550160,0,0,1442,"",2.29,1.82,1.80,1.78,1.60,0.00,0.00,0.89,"",0,0.0,-10,-2.4,-24,-5.6,-14,-3.4,-66839,-0.9,0,0.0,0,0.0,43,3.1
"42101","1","101","72","0","2015","3","","Philadelphia County, Pennsylvania","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,407,426,435,8965275,0,0,1632,"",2.29,1.77,1.85,1.88,1.59,0.00,0.00,0.87,"",0,0.0,-14,-3.3,7,1.7,20,4.8,328574,3.8,0,0.0,0,0.0,44,2.8
"42101","1","101","72","0","2015","4","","Philadelphia County, Pennsylvania","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,441,441,474,8110700,0,0,1380,"",2.28,1.90,1.92,2.07,1.61,0.00,0.00,0.82,"",0,0.0,29,7.0,24,5.8,62,15.0,404136,5.2,0,0.0,0,0.0,-53,-3.7
"42101","1","1013","73","0","2015","1","","Philadelphia County, Pennsylvania","Federal Government","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,411,407,406,8878911,0,0,1674,"",6.34,2.00,1.96,1.94,1.77,0.00,0.00,0.90,"",0,0.0,-4,-1.0,-40,-8.9,-10,-2.4,107009,1.2,0,0.0,0,0.0,90,5.7
"42101","1","1013","73","0","2015","2","","Philadelphia County, Pennsylvania","Federal Government","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,405,403,400,7550160,0,0,1442,"",6.44,1.94,1.93,1.92,1.69,0.00,0.00,0.87,"",0,0.0,-10,-2.4,-24,-5.6,-14,-3.4,-66839,-0.9,0,0.0,0,0.0,43,3.1
"42101","1","1013","73","0","2015","3","","Philadelphia County, Pennsylvania","Federal Government","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,407,426,435,8965275,0,0,1632,"",6.45,1.92,2.01,2.04,1.73,0.00,0.00,0.87,"",0,0.0,-14,-3.3,7,1.7,20,4.8,328574,3.8,0,0.0,0,0.0,44,2.8
"42101","1","1013","73","0","2015","4","","Philadelphia County, Pennsylvania","Federal Government","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",1,441,441,474,8110700,0,0,1380,"",6.48,2.04,2.05,2.19,1.69,0.00,0.00,0.81,"",0,0.0,29,7.0,24,5.8,62,15.0,404136,5.2,0,0.0,0,0.0,-53,-3.7
"42101","1","102","72","0","2015","1","","Philadelphia County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",150,29094,29199,29259,624946622,0,0,1647,"",0.67,2.30,2.31,2.32,2.08,0.00,0.00,0.90,"",30,25.0,-436,-1.5,-367,-1.2,-383,-1.3,10095174,1.6,0,0.0,0,0.0,48,3.0
"42101","1","102","72","0","2015","2","","Philadelphia County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",149,29422,29143,29176,539097713,0,0,1418,"",0.68,2.32,2.32,2.32,2.02,0.00,0.00,0.87,"",29,24.2,-199,-0.7,-161,-0.5,-168,-0.6,-2395310,-0.4,0,0.0,0,0.0,2,0.1
"42101","1","102","72","0","2015","3","","Philadelphia County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",149,29085,28933,28944,623823269,0,0,1655,"",0.68,2.30,2.30,2.30,2.03,0.00,0.00,0.88,"",28,23.1,-53,-0.2,-89,-0.3,273,1.0,8181792,1.3,0,0.0,0,0.0,19,1.2
