"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"42101","0","10","70","0","2021","1","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34077,626017,631330,636110,11573524745,3027101598,105791858,1411,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-809,-2.3,-77183,-11.0,-74565,-10.6,-66455,-9.5,-1134286645,-8.9,-405915964,-11.8,-21311540,-16.8,22,1.6
"42101","0","10","70","0","2021","2","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34388,641997,644308,646336,11415378655,854388993,29686650,1363,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-112,-0.3,48743,8.2,44131,7.4,37065,6.1,632279223,5.9,236780203,38.3,8097818,37.5,-17,-1.2
"42101","0","10","70","0","2021","3","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34658,647600,649651,660272,11945704090,619645693,22194402,1408,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-130,-0.4,35082,5.7,31716,5.1,29036,4.6,713198640,6.3,172626040,38.6,6429137,40.8,16,1.1
"42101","0","10","70","0","2021","4","","Philadelphia County, Pennsylvania","Total Covered","10 Total, all industries","County, Total Covered","All establishment sizes",34930,671654,679338,683108,14059857871,623433440,22597563,1595,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",285,0.8,30752,4.8,36743,5.7,48158,7.6,1235324817,9.6,176137793,39.4,6653716,41.7,52,3.4
"42101","1","10","71","0","2021","1","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",137,30524,30597,30430,640934960,0,0,1616,"",0.70,2.35,2.36,2.35,2.20,0.00,0.00,0.93,"",-2,-1.4,311,1.0,401,1.3,188,0.6,26024272,4.2,0,0.0,0,0.0,51,3.3
"42101","1","10","71","0","2021","2","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",137,30693,30428,30301,746125533,0,0,1883,"",0.70,2.35,2.35,2.34,2.25,0.00,0.00,0.96,"",-2,-1.4,351,1.2,105,0.3,-204,-0.7,25415967,3.5,0,0.0,0,0.0,59,3.2
"42101","1","10","71","0","2021","3","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",138,30261,30505,30598,660291020,0,0,1668,"",0.71,2.32,2.35,2.33,2.13,0.00,0.00,0.91,"",-1,-0.7,-352,-1.1,-1812,-5.6,-1840,-5.7,8722010,1.3,0,0.0,0,0.0,91,5.8
"42101","1","10","71","0","2021","4","","Philadelphia County, Pennsylvania","Federal Government","10 Total, all industries","County, Total -- by ownership sector","All establishment sizes",137,30262,30855,30810,756009219,0,0,1898,"",0.72,2.31,2.33,2.31,2.09,0.00,0.00,0.90,"",-2,-1.4,-1188,-3.8,-113,-0.4,-215,-0.7,-5000732,-0.7,0,0.0,0,0.0,19,1.0
"42101","1","101","72","0","2021","1","","Philadelphia County, Pennsylvania","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,434,430,429,8508520,0,0,1519,"",2.54,1.79,1.77,1.77,1.59,0.00,0.00,0.89,"",0,0.0,9,2.1,8,1.9,6,1.4,164056,2.0,0,0.0,0,0.0,3,0.2
"42101","1","101","72","0","2021","2","","Philadelphia County, Pennsylvania","Federal Government","101 Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,434,435,435,10397542,0,0,1840,"",2.54,1.78,1.77,1.77,1.68,0.00,0.00,0.95,"",0,0.0,3,0.7,0,0.0,6,1.4,308839,3.1,0,0.0,0,0.0,42,2.3
