Series ID,Year,Period,Label,Value
CUUSS12BSAC,2015,S01,2015 Half1,177.465
CUUSS12BSAC,2015,S02,2015 Half2,175.825
CUUSS12BSAC,2016,S01,2016 Half1,173.853
CUUSS12BSAC,2016,S02,2016 Half2,175.381
CUUSS12BSAC,2017,S01,2017 Half1,176.432
CUUSS12BSAC,2017,S02,2017 Half2,176.974
CUUSS12BSAC,2018,S01,2018 Half1,180.623
CUUSS12BSAC,2018,S02,2018 Half2,180.339
CUUSS12BSAC,2019,S01,2019 Half1,180.365
CUUSS12BSAC,2019,S02,2019 Half2,181.978
CUUSS12BSAC,2020,S01,2020 Half1,179.939
CUUSS12BSAC,2020,S02,2020 Half2,182.414
CUUSS12BSAC,2021,S01,2021 Half1,190.531
CUUSS12BSAC,2021,S02,2021 Half2,201.784
CUUSS12BSAC,2022,S01,2022 Half1,215.652
CUUSS12BSAC,2022,S02,2022 Half2,220.876
CUUSS12BSAC,2023,S01,2023 Half1,220.987
CUUSS12BSAC,2023,S02,2023 Half2,222.215
