Series ID,Year,Period,Label,Value
CUURS12BSEHF01,2015,M01,2015 Jan,194.672
CUURS12BSEHF01,2015,M02,2015 Feb,195.869
CUURS12BSEHF01,2015,M03,2015 Mar,191.236
CUURS12BSEHF01,2015,M04,2015 Apr,193.269
CUURS12BSEHF01,2015,M05,2015 May,191.082
CUURS12BSEHF01,2015,M06,2015 Jun,195.936
CUURS12BSEHF01,2015,M07,2015 Jul,195.341
CUURS12BSEHF01,2015,M08,2015 Aug,195.393
CUURS12BSEHF01,2015,M09,2015 Sep,194.505
CUURS12BSEHF01,2015,M10,2015 Oct,190.195
CUURS12BSEHF01,2015,M11,2015 Nov,190.724
CUURS12BSEHF01,2015,M12,2015 Dec,190.407
CUURS12BSEHF01,2016,M01,2016 Jan,196.095
CUURS12BSEHF01,2016,M02,2016 Feb,195.412
CUURS12BSEHF01,2016,M03,2016 Mar,192.670
CUURS12BSEHF01,2016,M04,2016 Apr,191.220
CUURS12BSEHF01,2016,M05,2016 May,190.158
CUURS12BSEHF01,2016,M06,2016 Jun,192.870
CUURS12BSEHF01,2016,M07,2016 Jul,194.042
CUURS12BSEHF01,2016,M08,2016 Aug,192.226
CUURS12BSEHF01,2016,M09,2016 Sep,194.369
CUURS12BSEHF01,2016,M10,2016 Oct,187.918
CUURS12BSEHF01,2016,M11,2016 Nov,186.574
CUURS12BSEHF01,2016,M12,2016 Dec,185.093
CUURS12BSEHF01,2017,M01,2017 Jan,187.184
CUURS12BSEHF01,2017,M02,2017 Feb,185.866
CUURS12BSEHF01,2017,M03,2017 Mar,183.751
CUURS12BSEHF01,2017,M04,2017 Apr,185.375
CUURS12BSEHF01,2017,M05,2017 May,186.888
CUURS12BSEHF01,2017,M06,2017 Jun,187.794
CUURS12BSEHF01,2017,M07,2017 Jul,187.818
CUURS12BSEHF01,2017,M08,2017 Aug,186.099
CUURS12BSEHF01,2017,M09,2017 Sep,186.285
CUURS12BSEHF01,2017,M10,2017 Oct,178.165
CUURS12BSEHF01,2017,M11,2017 Nov,181.383
CUURS12BSEHF01,2017,M12,2017 Dec,184.437
CUURS12BSEHF01,2018,M01,2018 Jan,180.729
CUURS12BSEHF01,2018,M02,2018 Feb,181.906
CUURS12BSEHF01,2018,M03,2018 Mar,178.256
CUURS12BSEHF01,2018,M04,2018 Apr,178.420
CUURS12BSEHF01,2018,M05,2018 May,179.627
CUURS12BSEHF01,2018,M06,2018 Jun,181.547
CUURS12BSEHF01,2018,M07,2018 Jul,181.326
CUURS12BSEHF01,2018,M08,2018 Aug,180.705
CUURS12BSEHF01,2018,M09,2018 Sep,178.589
CUURS12BSEHF01,2018,M10,2018 Oct,174.678
CUURS12BSEHF01,2018,M11,2018 Nov,176.805
CUURS12BSEHF01,2018,M12,2018 Dec,175.825
CUURS12BSEHF01,2019,M01,2019 Jan,138.193
CUURS12BSEHF01,2019,M02,2019 Feb,181.789
CUURS12BSEHF01,2019,M03,2019 Mar,181.396
CUURS12BSEHF01,2019,M04,2019 Apr,181.901
CUURS12BSEHF01,2019,M05,2019 May,182.910
CUURS12BSEHF01,2019,M06,2019 Jun,183.340
CUURS12BSEHF01,2019,M07,2019 Jul,183.037
CUURS12BSEHF01,2019,M08,2019 Aug,181.785
CUURS12BSEHF01,2019,M09,2019 Sep,181.246
CUURS12BSEHF01,2019,M10,2019 Oct,178.283
CUURS12BSEHF01,2019,M11,2019 Nov,178.225
CUURS12BSEHF01,2019,M12,2019 Dec,179.659
CUURS12BSEHF01,2020,M01,2020 Jan,179.268
CUURS12BSEHF01,2020,M02,2020 Feb,180.168
CUURS12BSEHF01,2020,M03,2020 Mar,180.089
CUURS12BSEHF01,2020,M04,2020 Apr,177.855
CUURS12BSEHF01,2020,M05,2020 May,176.849
CUURS12BSEHF01,2020,M06,2020 Jun,181.037
CUURS12BSEHF01,2020,M07,2020 Jul,181.809
CUURS12BSEHF01,2020,M08,2020 Aug,180.376
CUURS12BSEHF01,2020,M09,2020 Sep,179.756
CUURS12BSEHF01,2020,M10,2020 Oct,176.864
CUURS12BSEHF01,2020,M11,2020 Nov,176.285
CUURS12BSEHF01,2020,M12,2020 Dec,179.036
CUURS12BSEHF01,2021,M01,2021 Jan,180.296
CUURS12BSEHF01,2021,M02,2021 Feb,179.906
CUURS12BSEHF01,2021,M03,2021 Mar,177.830
CUURS12BSEHF01,2021,M04,2021 Apr,179.930
CUURS12BSEHF01,2021,M05,2021 May,178.777
CUURS12BSEHF01,2021,M06,2021 Jun,182.050
CUURS12BSEHF01,2021,M07,2021 Jul,182.671
CUURS12BSEHF01,2021,M08,2021 Aug,182.882
CUURS12BSEHF01,2021,M09,2021 Sep,183.203
CUURS12BSEHF01,2021,M10,2021 Oct,181.921
CUURS12BSEHF01,2021,M11,2021 Nov,186.709
CUURS12BSEHF01,2021,M12,2021 Dec,191.216
CUURS12BSEHF01,2022,M01,2022 Jan,201.727
CUURS12BSEHF01,2022,M02,2022 Feb,200.064
CUURS12BSEHF01,2022,M03,2022 Mar,201.322
CUURS12BSEHF01,2022,M04,2022 Apr,202.601
CUURS12BSEHF01,2022,M05,2022 May,205.420
CUURS12BSEHF01,2022,M06,2022 Jun,216.798
CUURS12BSEHF01,2022,M07,2022 Jul,217.372
CUURS12BSEHF01,2022,M08,2022 Aug,216.436
CUURS12BSEHF01,2022,M09,2022 Sep,220.742
CUURS12BSEHF01,2022,M10,2022 Oct,215.887
CUURS12BSEHF01,2022,M11,2022 Nov,214.987
CUURS12BSEHF01,2022,M12,2022 Dec,226.793
CUURS12BSEHF01,2023,M01,2023 Jan,231.479
CUURS12BSEHF01,2023,M02,2023 Feb,231.019
CUURS12BSEHF01,2023,M03,2023 Mar,225.945
CUURS12BSEHF01,2023,M04,2023 Apr,225.436
CUURS12BSEHF01,2023,M05,2023 May,226.150
CUURS12BSEHF01,2023,M06,2023 Jun,237.156
CUURS12BSEHF01,2023,M07,2023 Jul,237.277
CUURS12BSEHF01,2023,M08,2023 Aug,236.945
CUURS12BSEHF01,2023,M09,2023 Sep,230.580
CUURS12BSEHF01,2023,M10,2023 Oct,227.542
CUURS12BSEHF01,2023,M11,2023 Nov,227.944
CUURS12BSEHF01,2023,M12,2023 Dec,223.302
