Series ID,Year,Period,Label,Value
CUURS12BSA0E,2015,M01,2015 Jan,186.943
CUURS12BSA0E,2015,M02,2015 Feb,187.793
CUURS12BSA0E,2015,M03,2015 Mar,190.225
CUURS12BSA0E,2015,M04,2015 Apr,190.936
CUURS12BSA0E,2015,M05,2015 May,199.336
CUURS12BSA0E,2015,M06,2015 Jun,198.856
CUURS12BSA0E,2015,M07,2015 Jul,199.086
CUURS12BSA0E,2015,M08,2015 Aug,191.421
CUURS12BSA0E,2015,M09,2015 Sep,182.513
CUURS12BSA0E,2015,M10,2015 Oct,176.888
CUURS12BSA0E,2015,M11,2015 Nov,177.493
CUURS12BSA0E,2015,M12,2015 Dec,173.634
CUURS12BSA0E,2016,M01,2016 Jan,170.552
CUURS12BSA0E,2016,M02,2016 Feb,165.074
CUURS12BSA0E,2016,M03,2016 Mar,167.978
CUURS12BSA0E,2016,M04,2016 Apr,175.523
CUURS12BSA0E,2016,M05,2016 May,180.580
CUURS12BSA0E,2016,M06,2016 Jun,181.727
CUURS12BSA0E,2016,M07,2016 Jul,177.991
CUURS12BSA0E,2016,M08,2016 Aug,175.369
CUURS12BSA0E,2016,M09,2016 Sep,178.909
CUURS12BSA0E,2016,M10,2016 Oct,177.849
CUURS12BSA0E,2016,M11,2016 Nov,179.317
CUURS12BSA0E,2016,M12,2016 Dec,182.110
CUURS12BSA0E,2017,M01,2017 Jan,188.444
CUURS12BSA0E,2017,M02,2017 Feb,184.837
CUURS12BSA0E,2017,M03,2017 Mar,183.652
CUURS12BSA0E,2017,M04,2017 Apr,189.677
CUURS12BSA0E,2017,M05,2017 May,188.899
CUURS12BSA0E,2017,M06,2017 Jun,186.426
CUURS12BSA0E,2017,M07,2017 Jul,184.974
CUURS12BSA0E,2017,M08,2017 Aug,187.750
CUURS12BSA0E,2017,M09,2017 Sep,197.146
CUURS12BSA0E,2017,M10,2017 Oct,188.497
CUURS12BSA0E,2017,M11,2017 Nov,194.830
CUURS12BSA0E,2017,M12,2017 Dec,195.141
CUURS12BSA0E,2018,M01,2018 Jan,199.227
CUURS12BSA0E,2018,M02,2018 Feb,200.215
CUURS12BSA0E,2018,M03,2018 Mar,197.345
CUURS12BSA0E,2018,M04,2018 Apr,204.613
CUURS12BSA0E,2018,M05,2018 May,208.508
CUURS12BSA0E,2018,M06,2018 Jun,208.725
CUURS12BSA0E,2018,M07,2018 Jul,207.479
CUURS12BSA0E,2018,M08,2018 Aug,206.842
CUURS12BSA0E,2018,M09,2018 Sep,206.341
CUURS12BSA0E,2018,M10,2018 Oct,205.507
CUURS12BSA0E,2018,M11,2018 Nov,197.434
CUURS12BSA0E,2018,M12,2018 Dec,191.642
CUURS12BSA0E,2019,M01,2019 Jan,176.657
CUURS12BSA0E,2019,M02,2019 Feb,192.989
CUURS12BSA0E,2019,M03,2019 Mar,201.356
CUURS12BSA0E,2019,M04,2019 Apr,208.636
CUURS12BSA0E,2019,M05,2019 May,211.869
CUURS12BSA0E,2019,M06,2019 Jun,205.886
CUURS12BSA0E,2019,M07,2019 Jul,207.090
CUURS12BSA0E,2019,M08,2019 Aug,202.721
CUURS12BSA0E,2019,M09,2019 Sep,199.209
CUURS12BSA0E,2019,M10,2019 Oct,198.140
CUURS12BSA0E,2019,M11,2019 Nov,199.403
CUURS12BSA0E,2019,M12,2019 Dec,195.740
CUURS12BSA0E,2020,M01,2020 Jan,197.133
CUURS12BSA0E,2020,M02,2020 Feb,191.830
CUURS12BSA0E,2020,M03,2020 Mar,186.286
CUURS12BSA0E,2020,M04,2020 Apr,175.098
CUURS12BSA0E,2020,M05,2020 May,171.458
CUURS12BSA0E,2020,M06,2020 Jun,177.655
CUURS12BSA0E,2020,M07,2020 Jul,182.930
CUURS12BSA0E,2020,M08,2020 Aug,182.794
CUURS12BSA0E,2020,M09,2020 Sep,183.528
CUURS12BSA0E,2020,M10,2020 Oct,182.517
CUURS12BSA0E,2020,M11,2020 Nov,182.064
CUURS12BSA0E,2020,M12,2020 Dec,189.281
CUURS12BSA0E,2021,M01,2021 Jan,195.055
CUURS12BSA0E,2021,M02,2021 Feb,199.369
CUURS12BSA0E,2021,M03,2021 Mar,205.857
CUURS12BSA0E,2021,M04,2021 Apr,204.045
CUURS12BSA0E,2021,M05,2021 May,210.014
CUURS12BSA0E,2021,M06,2021 Jun,212.878
CUURS12BSA0E,2021,M07,2021 Jul,217.342
CUURS12BSA0E,2021,M08,2021 Aug,218.066
CUURS12BSA0E,2021,M09,2021 Sep,220.174
CUURS12BSA0E,2021,M10,2021 Oct,227.131
CUURS12BSA0E,2021,M11,2021 Nov,232.914
CUURS12BSA0E,2021,M12,2021 Dec,236.853
CUURS12BSA0E,2022,M01,2022 Jan,241.827
CUURS12BSA0E,2022,M02,2022 Feb,247.985
CUURS12BSA0E,2022,M03,2022 Mar,270.533
CUURS12BSA0E,2022,M04,2022 Apr,271.093
CUURS12BSA0E,2022,M05,2022 May,291.952
CUURS12BSA0E,2022,M06,2022 Jun,310.907
CUURS12BSA0E,2022,M07,2022 Jul,297.043
CUURS12BSA0E,2022,M08,2022 Aug,282.327
CUURS12BSA0E,2022,M09,2022 Sep,271.379
CUURS12BSA0E,2022,M10,2022 Oct,277.635
