Series ID,Year,Period,Label,Value
CUURS12BSAF1,2015,M02,2015 Feb,228.428
CUURS12BSAF1,2015,M04,2015 Apr,230.946
CUURS12BSAF1,2015,M06,2015 Jun,233.877
CUURS12BSAF1,2015,M08,2015 Aug,232.832
CUURS12BSAF1,2015,M10,2015 Oct,233.724
CUURS12BSAF1,2015,M12,2015 Dec,233.752
CUURS12BSAF1,2016,M02,2016 Feb,233.070
CUURS12BSAF1,2016,M04,2016 Apr,230.833
CUURS12BSAF1,2016,M06,2016 Jun,231.356
CUURS12BSAF1,2016,M08,2016 Aug,231.905
CUURS12BSAF1,2016,M10,2016 Oct,231.922
CUURS12BSAF1,2016,M12,2016 Dec,230.006
CUURS12BSAF1,2017,M02,2017 Feb,231.542
CUURS12BSAF1,2017,M04,2017 Apr,233.858
CUURS12BSAF1,2017,M06,2017 Jun,231.272
CUURS12BSAF1,2017,M08,2017 Aug,233.030
CUURS12BSAF1,2017,M10,2017 Oct,233.726
CUURS12BSAF1,2017,M12,2017 Dec,234.078
CUURS12BSAF1,2018,M02,2018 Feb,232.563
CUURS12BSAF1,2018,M04,2018 Apr,233.291
CUURS12BSAF1,2018,M06,2018 Jun,232.804
CUURS12BSAF1,2018,M08,2018 Aug,234.917
CUURS12BSAF1,2018,M10,2018 Oct,235.027
CUURS12BSAF1,2018,M12,2018 Dec,235.718
CUURS12BSAF1,2019,M02,2019 Feb,235.749
CUURS12BSAF1,2019,M04,2019 Apr,236.919
CUURS12BSAF1,2019,M06,2019 Jun,237.597
CUURS12BSAF1,2019,M08,2019 Aug,239.167
CUURS12BSAF1,2019,M10,2019 Oct,239.717
CUURS12BSAF1,2019,M12,2019 Dec,239.966
CUURS12BSAF1,2020,M02,2020 Feb,242.456
CUURS12BSAF1,2020,M04,2020 Apr,248.266
CUURS12BSAF1,2020,M06,2020 Jun,249.912
CUURS12BSAF1,2020,M08,2020 Aug,248.538
CUURS12BSAF1,2020,M10,2020 Oct,247.742
CUURS12BSAF1,2020,M12,2020 Dec,250.028
CUURS12BSAF1,2021,M02,2021 Feb,245.922
CUURS12BSAF1,2021,M04,2021 Apr,249.307
CUURS12BSAF1,2021,M06,2021 Jun,252.233
CUURS12BSAF1,2021,M08,2021 Aug,252.659
CUURS12BSAF1,2021,M10,2021 Oct,256.795
CUURS12BSAF1,2021,M12,2021 Dec,260.566
CUURS12BSAF1,2022,M02,2022 Feb,266.116
CUURS12BSAF1,2022,M04,2022 Apr,272.891
CUURS12BSAF1,2022,M06,2022 Jun,277.731
CUURS12BSAF1,2022,M08,2022 Aug,283.470
CUURS12BSAF1,2022,M10,2022 Oct,290.526
CUURS12BSAF1,2022,M12,2022 Dec,289.545
CUURS12BSAF1,2023,M02,2023 Feb,295.127
CUURS12BSAF1,2023,M04,2023 Apr,296.037
CUURS12BSAF1,2023,M06,2023 Jun,295.722
CUURS12BSAF1,2023,M08,2023 Aug,295.847
CUURS12BSAF1,2023,M10,2023 Oct,298.064
CUURS12BSAF1,2023,M12,2023 Dec,299.842
